frame_number,row,text
240,0,no matches
240,1,no matches
240,2,no matches
270,0,no matches
270,1,no matches
270,2,no matches
300,0,no matches
300,1,no matches
300,2,no matches
330,0,no matches
330,1,no matches
330,2,no matches
360,0,no matches
360,1,no matches
360,2,no matches
390,0,no matches
390,1,no matches
390,2,no matches
420,0,no matches
420,1,no matches
420,2,no matches
450,0,no matches
450,1,no matches
450,2,no matches
480,0,no matches
480,1,no matches
480,2,no matches
510,0,no matches
510,1,no matches
510,2,no matches
540,0,no matches
540,1,no matches
540,2,no matches
570,0,no matches
570,1,no matches
570,2,no matches
600,0,no matches
600,1,no matches
600,2,no matches
630,0,no matches
630,1,no matches
630,2,no matches
660,0,no matches
660,1,no matches
660,2,no matches
690,0,no matches
690,1,no matches
690,2,no matches
720,0,no matches
720,1,no matches
720,2,no matches
750,0,no matches
750,1,no matches
750,2,no matches
780,0,no matches
780,1,no matches
780,2,no matches
810,0,no matches
810,1,no matches
810,2,no matches
840,0,no matches
840,1,no matches
840,2,no matches
870,0,no matches
870,1,no matches
870,2,no matches
900,0,no matches
900,1,no matches
900,2,no matches
930,0,no matches
930,1,no matches
930,2,no matches
960,0,no matches
960,1,no matches
960,2,no matches
990,0,no matches
990,1,no matches
990,2,no matches
1020,0,no matches
1020,1,no matches
1020,2,no matches
1050,0,no matches
1050,1,no matches
1050,2,no matches
1080,0,no matches
1080,1,no matches
1080,2,no matches
1110,0,no matches
1110,1,no matches
1110,2,no matches
1140,0,no matches
1140,1,no matches
1140,2,no matches
1170,0,no matches
1170,1,no matches
1170,2,no matches
1200,0,no matches
1200,1,no matches
1200,2,no matches
1230,0,2 ghosty.png killed 1 shotzzy.png
1230,1,no matches
1230,2,no matches
1260,0,no matches
1260,1,no matches
1260,2,no matches
1290,0,no matches
1290,1,no matches
1290,2,no matches
1320,0,no matches
1320,1,no matches
1320,2,no matches
1350,0,2 hydra.png killed 1 dashy.png
1350,1,2 ghosty.png killed 1 shotzzy.png
1350,2,no matches
1380,0,2 hydra.png killed 1 dashy.png
1380,1,2 ghosty.png killed 1 shotzzy.png
1380,2,no matches
1410,0,no matches
1410,1,no matches
1410,2,no matches
1440,0,no matches
1440,1,no matches
1440,2,no matches
1470,0,1 kenny.png killed 2 scrap.png
1470,1,2 hydra.png killed 1 dashy.png
1470,2,no matches
1500,0,no matches
1500,1,no matches
1500,2,no matches
1530,0,2 ghosty.png killed 1 kenny.png
1530,1,1 pred.png killed 2 envoy.png
1530,2,no matches
1560,0,no matches
1560,1,no matches
1560,2,no matches
1590,0,no matches
